Transaction_date,Product,Price,Payment_Type,Name,City,State,Country,Account_Created,Last_Login
1/28/2009 7:07,Product1,1200,Visa,Kevin,Berkeswell,England,United Kingdom,1/28/2009 6:57,1/28/2009 7:18
1/28/2009 7:31,Product1,1200,Visa,cari,Dryden                      ,VA,United States,1/28/2009 7:22,1/28/2009 7:34
1/18/2009 12:32,Product1,1200,Visa,Cassandra,Santry,Dublin,Ireland,12/14/2008 14:26,1/28/2009 7:41
1/13/2009 14:05,Product1,1200,Amex,Christof and Heidi,Barcelona,Catalonia,Spain,1/9/2009 7:54,1/28/2009 7:45
1/28/2009 7:49,Product1,1200,Visa,Ina,Fayetteville                ,NC,United States,1/28/2009 7:45,1/28/2009 7:47
1/28/2009 3:07,Product1,1200,Visa,Lisa,Anse Comeau,Quebec,Canada,1/26/2009 11:47,1/28/2009 8:08
1/12/2009 15:16,Product1,1200,Visa,Camille and Carmen,Thorlakshofn, ,Iceland,1/12/2009 11:41,1/28/2009 8:44
1/6/2009 11:17,Product2,3600,Visa,Trina,Overland                    ,KS,United States,2/21/2008 8:53,1/28/2009 9:23
1/23/2009 9:49,Product1,1200,Visa,Ginger,King City,Ontario,Canada,1/23/2009 8:18,1/28/2009 9:43
1/24/2009 4:01,Product1,1200,Visa,breon,Leighton Buzzard,England,United Kingdom,1/7/2006 10:56,1/28/2009 10:12
1/25/2009 18:21,Product1,1200,Visa,Marion,Umea,Vasterbotten,Sweden,1/25/2009 16:35,1/28/2009 10:19
1/15/2009 10:51,Product1,1200,Mastercard,Pia ,Sola,Rogaland,Norway,1/11/2009 8:54,1/28/2009 10:39
1/2/2009 5:14,Product1,1200,Visa,Dr. Donald,Stockton-on-Tees,England,United Kingdom,1/1/2005 6:03,1/28/2009 11:07
1/9/2009 10:35,Product2,3600,Visa,Jenna and Paul,Senatobia                   ,MS,United States,1/8/2009 14:02,1/28/2009 11:08
1/4/2009 10:16,Product1,1200,Mastercard,Rebecca,Berlin,Berlin,Germany,12/28/2008 10:50,1/28/2009 11:09
1/2/2009 12:16,Product1,1200,Mastercard,Monique,Waldorf                     ,MD,United States,12/11/2008 6:16,1/28/2009 12:07
1/28/2009 12:31,Product1,1200,Diners,lilia ,Brooklyn                    ,NY,United States,1/28/2009 12:21,1/28/2009 12:30
1/14/2009 12:07,Product1,1200,Mastercard,Lainey,Lakeville                   ,MN,United States,1/13/2009 22:28,1/28/2009 12:37
